optometrists,99,vision,Optometry,Optometrist,Optometrists,Specializes in vision and prescribing glasses and contact lences.
oral-surgeons,99,medical,Oral & Maxillofacial Surgery,Oral Surgeon,Oral Surgeons,"Specializes in surgical operations of the mouth, jaw and face."
orthopedic-surgeons,7,medical,Orthopedic Surgery,Orthopedic Surgeon,Orthopedic Surgeons,"Specializes in surgery and treatment of musculoskeletal problems, including knees and spine."
ear-nose-throat-doctors,99,medical,Otolaryngology,"Ear, Nose and Throat Doctor","Ear, Nose and Throat Doctors","Specializes in ear, nose and throat problems."
pain-management-doctors,99,medical,Pain Medicine,Pain Management Doctor,Pain Management Doctors,Specializes in pain management and prevention.
pathologists,99,medical,Pathology,Pathologist,Pathologists,Specializes in laboratory tests of tissue and bodily fluids.
pediatric-surgeons,99,medical,Pediatric Surgery,Pediatric Surgeon,Pediatric Surgeons,Specializes in complicated surgical conditions in children.
pediatricians,2,medical,Pediatrics,Pediatrician,Pediatricians,Specializes in the health of children from birth to young adulthood.
physiatrists,99,medical,Physical Medicine & Rehabilitation,Physiatrist,Physiatrists,Specializes in treating patients with physical disabilities.
physical-therapists,99,medical,Physical Therapy,Physical Therapist,Physical Therapists,Specializes in physical therapy.
plastic-surgeons,99,medical,Plastic and Reconstructive Surgery,Plastic Surgeon,Plastic Surgeons,Specializes in plastic and reconstructive surgery.
podiatrists,99,medical,Podiatry,Podiatrist,Podiatrists,Specializes in foot and ankle problems.
preventive-medicine-doctors,99,medical,Preventive Medicine,Preventive Medicine Doctor,Preventive Medicine Doctors,Specializes in preventive care.
primary-care-doctors,1,medical,Primary Care Doctor,Primary Care Doctor,Primary Care Doctors,Specializes in the total health of you and your family.
psychiatrists,8,medical,Psychiatry,Psychiatrist,Psychiatrists,Specializes in the diagnosis and treatment of mental disorders.
psychologists,99,medical,Psychology,Psychologist,Psychologists,Specializes in psychological counceling and therapy.
pulmonologists,99,medical,Pulmonary Disease,Pulmonologist,Pulmonologists,Specializes in lungs and airways.
radiologists,99,medical,Radiology,Radiologist,Radiologists,Specializes in imaging via X-rays and ultrasound.
rheumatologists,99,medical,Rheumatology,Rheumatologist,Rheumatologists,"Specializes in joints, muscles, bones and tendons."
sleep-medicine-doctors,99,medical,Sleep Medicine,Sleep Medicine Doctor,Sleep Medicine Doctors,Specializes in  sleep disorders.
specialist-doctors,99,medical,Specialist Doctor,Specialist Doctor,Specialist Doctors,Specialize in specific medical areas.
speech-therapists,99,medical,Speech Therapy,Speech Therapist,Speech Therapists,Specializes in speech therapy.
sports-medicine-doctors,99,medical,Sports Medicine,Sports Medicine Doctor,Sports Medicine Doctors,Specializes in prevention and treatment of sports related injuries.
general-surgeons,99,medical,Surgery,General Surgeon,General Surgeons,Specializes in complex surgical operations.
urologists,99,medical,Urology,Urologist,Urologists,Specializes in genital and urinary problems.
vascular-surgeons,99,medical,Vascular Surgery,Vascular Surgeon,Vascular Surgeons,Specializes in blood vessel surgery excluding the heart.
hand-surgeons,99,medical,Hand Surgery,Hand Surgeon, Hand Surgeons,Specializes in hand surgeries.
obg,99,medical,Gynecology,Gynecologist,Gynecologists,Specializes is gynecological issues.
bariatric,99,medical,Bariatric Surgery,Bariatric Surgeon,Bariatric Surgeons,Specialized in weight loss surgery.
