CPT_CODE|CPT_LONG_DESCRIPTION|CPT_LONG_DESCRIPTION
10160|PUNCTURE ASPIRATION OF ABSCESS, HEMATOMA, BULLA, OR CYST|PUNCTURE ASPIRATION OF ABSCESS, HEMATOMA, BULLA, OR CYST
10180|INCISION AND DRAINAGE, COMPLEX, POSTOPERATIVE WOUND INFECTION|INCISION AND DRAINAGE, COMPLEX, POSTOPERATIVE WOUND INFECTION
11000|DEBRIDEMENT OF EXTENSIVE ECZEMATOUS OR INFECTED SKIN; UP TO 10% OF BODY SURFACE|DEBRIDEMENT OF EXTENSIVE ECZEMATOUS OR INFECTED SKIN; UP TO 10% OF BODY SURFACE
11001|DEBRIDEMENT OF EXTENSIVE ECZEMATOUS OR INFECTED SKIN; EACH ADDITIONAL 10% OF THE BODY SURFACE (LIST SEPARATELY IN ADDITION TO CODE FOR PRIMARY|DEBRIDEMENT OF EXTENSIVE ECZEMATOUS OR INFECTED SKIN; EACH ADDITIONAL 10% OF THE BODY SURFACE (LIST SEPARATELY IN ADDITION TO CODE FOR PRIMARY
11010|DEBRIDEMENT INCLUDING REMOVAL OF FOREIGN MATERIAL ASSOCIATED WITH OPEN FRACTURE(S) AND/OR DISLOCATION(S); SKIN AND SUBCUTANEOUS TISSUES|DEBRIDEMENT INCLUDING REMOVAL OF FOREIGN MATERIAL ASSOCIATED WITH OPEN FRACTURE(S) AND/OR DISLOCATION(S); SKIN AND SUBCUTANEOUS TISSUES
11011|DEBRIDEMENT INCLUDING REMOVAL OF FOREIGN MATERIAL ASSOCIATED WITH OPEN FRACTURE(S) AND/OR DISLOCATION(S); SKIN, SUBCUTANEOUS TISSUES, MUSCLE FA|DEBRIDEMENT INCLUDING REMOVAL OF FOREIGN MATERIAL ASSOCIATED WITH OPEN FRACTURE(S) AND/OR DISLOCATION(S); SKIN, SUBCUTANEOUS TISSUES, MUSCLE FA
11012|DEBRIDEMENT INCLUDING REMOVAL OF FOREIGN MATERIAL ASSOCIATED WITH OPEN FRACTURE(S) AND/OR DISLOCATION(S); SKIN, SUBCUTANEOUS TISSUES, MUSCLE FA|DEBRIDEMENT INCLUDING REMOVAL OF FOREIGN MATERIAL ASSOCIATED WITH OPEN FRACTURE(S) AND/OR DISLOCATION(S); SKIN, SUBCUTANEOUS TISSUES, MUSCLE FA
11040|DEBRIDEMENT; SKIN, PARTIAL THICKNESS|DEBRIDEMENT; SKIN, PARTIAL THICKNESS
11041|DEBRIDEMENT; SKIN, FULL THICKNESS|DEBRIDEMENT; SKIN, FULL THICKNESS
11042|DEBRIDEMENT; SKIN, AND SUBCUTANEOUS TISSUE|DEBRIDEMENT; SKIN, AND SUBCUTANEOUS TISSUE
11043|DEBRIDEMENT; SKIN, SUBCUTANEOUS TISSUE, AND MUSCLE|DEBRIDEMENT; SKIN, SUBCUTANEOUS TISSUE, AND MUSCLE
11044|DEBRIDEMENT; SKIN, SUBCUTANEOUS TISSUE, MUSCLE, AND BONE|DEBRIDEMENT; SKIN, SUBCUTANEOUS TISSUE, MUSCLE, AND BONE
11055|PARING OR CUTTING OF BENIGN HYPERKERATOTIC LESION (EG, CORN OR CALLUS); SINGLE LESION|PARING OR CUTTING OF BENIGN HYPERKERATOTIC LESION (EG, CORN OR CALLUS); SINGLE LESION
11056|PARING OR CUTTING OF BENIGN HYPERKERATOTIC LESION (EG, CORN OR CALLUS); TWO TO FOUR LESIONS|PARING OR CUTTING OF BENIGN HYPERKERATOTIC LESION (EG, CORN OR CALLUS); TWO TO FOUR LESIONS
11057|PARING OR CUTTING OF BENIGN HYPERKERATOTIC LESION (EG, CORN OR CALLUS); MORE THAN FOUR LESIONS|PARING OR CUTTING OF BENIGN HYPERKERATOTIC LESION (EG, CORN OR CALLUS); MORE THAN FOUR LESIONS
11100|BIOPSY OF SKIN, SUBCUTANEOUS TISSUE AND/OR MUCOUS MEMBRANE (INCLUDING SIMPLE CLOSURE), UNLESS OTHERWISE LISTED (SEPARATE PROCEDURE); SINGLE LES|BIOPSY OF SKIN, SUBCUTANEOUS TISSUE AND/OR MUCOUS MEMBRANE (INCLUDING SIMPLE CLOSURE), UNLESS OTHERWISE LISTED (SEPARATE PROCEDURE); SINGLE LES
11101|BIOPSY OF SKIN, SUBCUTANEOUS TISSUE AND/OR MUCOUS MEMBRANE (INCLUDING SIMPLE CLOSURE),UNLESS OTHERWISE LISTED (SEPARATE PROCEDURE); EACH SEPARA|BIOPSY OF SKIN, SUBCUTANEOUS TISSUE AND/OR MUCOUS MEMBRANE (INCLUDING SIMPLE CLOSURE),UNLESS OTHERWISE LISTED (SEPARATE PROCEDURE); EACH SEPARA
11200|REMOVAL OF SKIN TAGS, MULTIPLE FIBROCUTANEOUS TAGS, ANY AREA; UP TO AND INCLUDING 15 LESIONS|REMOVAL OF SKIN TAGS, MULTIPLE FIBROCUTANEOUS TAGS, ANY AREA; UP TO AND INCLUDING 15 LESIONS
11201|REMOVAL OF SKIN TAGS, MULTIPLE FIBROCUTANEOUS TAGS, ANY AREA; EACH ADDITIONAL TEN LESIONS (LIST SEPARATELY IN ADDITION TO CODE FOR PRIMARY PROC|REMOVAL OF SKIN TAGS, MULTIPLE FIBROCUTANEOUS TAGS, ANY AREA; EACH ADDITIONAL TEN LESIONS (LIST SEPARATELY IN ADDITION TO CODE FOR PRIMARY PROC
11300|SHAVING OF EPIDERMAL OR DERMAL LESION, SINGLE LESION, TRUNK, ARMS OR LEGS; LESION DIAMETER 0.5 CM OR LESS|SHAVING OF EPIDERMAL OR DERMAL LESION, SINGLE LESION, TRUNK, ARMS OR LEGS; LESION DIAMETER 0.5 CM OR LESS
11301|SHAVING OF EPIDERMAL OR DERMAL LESION, SINGLE LESION, TRUNK, ARMS OR LEGS; LESION DIAMETER 0.6 TO 1.0 CM|SHAVING OF EPIDERMAL OR DERMAL LESION, SINGLE LESION, TRUNK, ARMS OR LEGS; LESION DIAMETER 0.6 TO 1.0 CM
11302|SHAVING OF EPIDERMAL OR DERMAL LESION, SINGLE LESION, TRUNK, ARMS OR LEGS; LESION DIAMETER 1.1 TO 2.0 CM|SHAVING OF EPIDERMAL OR DERMAL LESION, SINGLE LESION, TRUNK, ARMS OR LEGS; LESION DIAMETER 1.1 TO 2.0 CM
11303|SHAVING OF EPIDERMAL OR DERMAL LESION, SINGLE LESION, TRUNK, ARMS OR LEGS; LESION DIAMETER OVER 2.0 CM|SHAVING OF EPIDERMAL OR DERMAL LESION, SINGLE LESION, TRUNK, ARMS OR LEGS; LESION DIAMETER OVER 2.0 CM
11305|SHAVING OF EPIDERMAL OR DERMAL LESION, SINGLE LESION, SCALP, NECK, HANDS, FEET, GENITALIA; LESION DIAMETER 0.5 CM OR LESS|SHAVING OF EPIDERMAL OR DERMAL LESION, SINGLE LESION, SCALP, NECK, HANDS, FEET, GENITALIA; LESION DIAMETER 0.5 CM OR LESS
11306|SHAVING OF EPIDERMAL OR DERMAL LESION, SINGLE LESION, SCALP, NECK, HANDS, FEET, GENITALIA; LESION DIAMETER 0.6 TO 1.0 CM|SHAVING OF EPIDERMAL OR DERMAL LESION, SINGLE LESION, SCALP, NECK, HANDS, FEET, GENITALIA; LESION DIAMETER 0.6 TO 1.0 CM
11307|SHAVING OF EPIDERMAL OR DERMAL LESION, SINGLE LESION, SCALP, NECK, HANDS, FEET, GENITALIA; LESION DIAMETER 1.1 TO 2.0 CM|SHAVING OF EPIDERMAL OR DERMAL LESION, SINGLE LESION, SCALP, NECK, HANDS, FEET, GENITALIA; LESION DIAMETER 1.1 TO 2.0 CM
11308|SHAVING OF EPIDERMAL OR DERMAL LESION, SINGLE LESION, SCALP, NECK, HANDS, FEET, GENITALIA; LESION DIAMETER OVER 2.0 CM|SHAVING OF EPIDERMAL OR DERMAL LESION, SINGLE LESION, SCALP, NECK, HANDS, FEET, GENITALIA; LESION DIAMETER OVER 2.0 CM
11310|SHAVING OF EPIDERMAL OR DERMAL LESION, SINGLE LESION, FACE, EARS, EYELIDS, NOSE, LIPS, MUCOUS MEMBRANE; LESION DIAMETER 0.5 CM OR LESS|SHAVING OF EPIDERMAL OR DERMAL LESION, SINGLE LESION, FACE, EARS, EYELIDS, NOSE, LIPS, MUCOUS MEMBRANE; LESION DIAMETER 0.5 CM OR LESS
11311|SHAVING OF EPIDERMAL OR DERMAL LESION, SINGLE LESION, FACE, EARS, EYELIDS, NOSE, LIPS, MUCOUS MEMBRANE; LESION DIAMETER 0.6 TO 1.0 CM|SHAVING OF EPIDERMAL OR DERMAL LESION, SINGLE LESION, FACE, EARS, EYELIDS, NOSE, LIPS, MUCOUS MEMBRANE; LESION DIAMETER 0.6 TO 1.0 CM
11312|SHAVING OF EPIDERMAL OR DERMAL LESION, SINGLE LESION, FACE, EARS, EYELIDS, NOSE, LIPS, MUCOUS MEMBRANE; LESION DIAMETER 1.1 TO 2.0 CM|SHAVING OF EPIDERMAL OR DERMAL LESION, SINGLE LESION, FACE, EARS, EYELIDS, NOSE, LIPS, MUCOUS MEMBRANE; LESION DIAMETER 1.1 TO 2.0 CM
11313|SHAVING OF EPIDERMAL OR DERMAL LESION, SINGLE LESION, FACE, EARS, EYELIDS, NOSE, LIPS, MUCOUS MEMBRANE; LESION DIAMETER OVER 2.0 CM|SHAVING OF EPIDERMAL OR DERMAL LESION, SINGLE LESION, FACE, EARS, EYELIDS, NOSE, LIPS, MUCOUS MEMBRANE; LESION DIAMETER OVER 2.0 CM
11400|EXCISION, BENIGN LESION INCLUDING MARGINS, EXCEPT SKIN TAG (UNLESS LISTED ELSEWHERE), TRUNK, ARMS OR LEGS; EXCISED DIAMETER 0.5 CM OR LESS|EXCISION, BENIGN LESION INCLUDING MARGINS, EXCEPT SKIN TAG (UNLESS LISTED ELSEWHERE), TRUNK, ARMS OR LEGS; EXCISED DIAMETER 0.5 CM OR LESS
11401|EXCISION, BENIGN LESION INCLUDING MARGINS, EXCEPT SKIN TAG (UNLESS LISTED ELSEWHERE), TRUNK, ARMS OR LEGS; EXCISED DIAMETER 0.6 TO 1.0 CM|EXCISION, BENIGN LESION INCLUDING MARGINS, EXCEPT SKIN TAG (UNLESS LISTED ELSEWHERE), TRUNK, ARMS OR LEGS; EXCISED DIAMETER 0.6 TO 1.0 CM
11402|EXCISION, BENIGN LESION INCLUDING MARGINS, EXCEPT SKIN TAG (UNLESS LISTED ELSEWHERE), TRUNK, ARMS OR LEGS; EXCISED DIAMETER 1.1 TO 2.0 CM|EXCISION, BENIGN LESION INCLUDING MARGINS, EXCEPT SKIN TAG (UNLESS LISTED ELSEWHERE), TRUNK, ARMS OR LEGS; EXCISED DIAMETER 1.1 TO 2.0 CM
11403|EXCISION, BENIGN LESION INCLUDING MARGINS, EXCEPT SKIN TAG (UNLESS LISTED ELSEWHERE), TRUNK, ARMS OR LEGS; EXCISED DIAMETER 2.1 TO 3.0 CM|EXCISION, BENIGN LESION INCLUDING MARGINS, EXCEPT SKIN TAG (UNLESS LISTED ELSEWHERE), TRUNK, ARMS OR LEGS; EXCISED DIAMETER 2.1 TO 3.0 CM
11404|EXCISION, BENIGN LESION INCLUDING MARGINS, EXCEPT SKIN TAG (UNLESS LISTED ELSEWHERE), TRUNK, ARMS OR LEGS; EXCISED DIAMETER 3.1 TO 4.0 CM|EXCISION, BENIGN LESION INCLUDING MARGINS, EXCEPT SKIN TAG (UNLESS LISTED ELSEWHERE), TRUNK, ARMS OR LEGS; EXCISED DIAMETER 3.1 TO 4.0 CM
11406|EXCISION, BENIGN LESION INCLUDING MARGINS, EXCEPT SKIN TAG (UNLESS LISTED ELSEWHERE), TRUNK, ARMS OR LEGS; EXCISED DIAMETER OVER 4.0 CM|EXCISION, BENIGN LESION INCLUDING MARGINS, EXCEPT SKIN TAG (UNLESS LISTED ELSEWHERE), TRUNK, ARMS OR LEGS; EXCISED DIAMETER OVER 4.0 CM
11420|EXCISION, BENIGN LESION INCLUDING MARGINS, EXCEPT SKIN TAG (UNLESS LISTED ELSEWHERE), SCALP, NECK, HANDS, FEET, GENITALIA; EXCISED DIAMETER 0.5|EXCISION, BENIGN LESION INCLUDING MARGINS, EXCEPT SKIN TAG (UNLESS LISTED ELSEWHERE), SCALP, NECK, HANDS, FEET, GENITALIA; EXCISED DIAMETER 0.5
11421|EXCISION, BENIGN LESION INCLUDING MARGINS, EXCEPT SKIN TAG (UNLESS LISTED ELSEWHERE), SCALP, NECK, HANDS, FEET, GENITALIA; EXCISED DIAMETER 0.6|EXCISION, BENIGN LESION INCLUDING MARGINS, EXCEPT SKIN TAG (UNLESS LISTED ELSEWHERE), SCALP, NECK, HANDS, FEET, GENITALIA; EXCISED DIAMETER 0.6
11422|EXCISION, BENIGN LESION INCLUDING MARGINS, EXCEPT SKIN TAG (UNLESS LISTED ELSEWHERE), SCALP, NECK, HANDS, FEET, GENITALIA; EXCISED DIAMETER 1.1|EXCISION, BENIGN LESION INCLUDING MARGINS, EXCEPT SKIN TAG (UNLESS LISTED ELSEWHERE), SCALP, NECK, HANDS, FEET, GENITALIA; EXCISED DIAMETER 1.1
11423|EXCISION, BENIGN LESION INCLUDING MARGINS, EXCEPT SKIN TAG (UNLESS LISTED ELSEWHERE), SCALP, NECK, HANDS, FEET, GENITALIA; EXCISED DIAMETER 2.1|EXCISION, BENIGN LESION INCLUDING MARGINS, EXCEPT SKIN TAG (UNLESS LISTED ELSEWHERE), SCALP, NECK, HANDS, FEET, GENITALIA; EXCISED DIAMETER 2.1
11424|EXCISION, BENIGN LESION INCLUDING MARGINS, EXCEPT SKIN TAG (UNLESS LISTED ELSEWHERE), SCALP, NECK, HANDS, FEET, GENITALIA; EXCISED DIAMETER 3.1|EXCISION, BENIGN LESION INCLUDING MARGINS, EXCEPT SKIN TAG (UNLESS LISTED ELSEWHERE), SCALP, NECK, HANDS, FEET, GENITALIA; EXCISED DIAMETER 3.1
11426|EXCISION, BENIGN LESION INCLUDING MARGINS, EXCEPT SKIN TAG (UNLESS LISTED ELSEWHERE), SCALP, NECK, HANDS, FEET, GENITALIA; EXCISED DIAMETER OVE|EXCISION, BENIGN LESION INCLUDING MARGINS, EXCEPT SKIN TAG (UNLESS LISTED ELSEWHERE), SCALP, NECK, HANDS, FEET, GENITALIA; EXCISED DIAMETER OVE
11440|EXCISION, OTHER BENIGN LESION INCLUDING MARGINS (UNLESS LISTED ELSEWHERE), FACE, EARS, EYELIDS, NOSE, LIPS, MUCOUS MEMBRANE; EXCISED DIAMETER 0|EXCISION, OTHER BENIGN LESION INCLUDING MARGINS (UNLESS LISTED ELSEWHERE), FACE, EARS, EYELIDS, NOSE, LIPS, MUCOUS MEMBRANE; EXCISED DIAMETER 0
11441|EXCISION, OTHER BENIGN LESION INCLUDING MARGINS (UNLESS LISTED ELSEWHERE), FACE, EARS, EYELIDS, NOSE, LIPS, MUCOUS MEMBRANE; EXCISED DIAMETER 0|EXCISION, OTHER BENIGN LESION INCLUDING MARGINS (UNLESS LISTED ELSEWHERE), FACE, EARS, EYELIDS, NOSE, LIPS, MUCOUS MEMBRANE; EXCISED DIAMETER 0
11442|EXCISION, OTHER BENIGN LESION INCLUDING MARGINS (UNLESS LISTED ELSEWHERE), FACE, EARS, EYELIDS, NOSE, LIPS, MUCOUS MEMBRANE; EXCISED DIAMETER 1|EXCISION, OTHER BENIGN LESION INCLUDING MARGINS (UNLESS LISTED ELSEWHERE), FACE, EARS, EYELIDS, NOSE, LIPS, MUCOUS MEMBRANE; EXCISED DIAMETER 1
11443|EXCISION, OTHER BENIGN LESION INCLUDING MARGINS (UNLESS LISTED ELSEWHERE), FACE, EARS, EYELIDS, NOSE, LIPS, MUCOUS MEMBRANE; EXCISED DIAMETER 2|EXCISION, OTHER BENIGN LESION INCLUDING MARGINS (UNLESS LISTED ELSEWHERE), FACE, EARS, EYELIDS, NOSE, LIPS, MUCOUS MEMBRANE; EXCISED DIAMETER 2
11444|EXCISION, OTHER BENIGN LESION INCLUDING MARGINS (UNLESS LISTED ELSEWHERE), FACE, EARS, EYELIDS, NOSE, LIPS, MUCOUS MEMBRANE; EXCISED DIAMETER 3|EXCISION, OTHER BENIGN LESION INCLUDING MARGINS (UNLESS LISTED ELSEWHERE), FACE, EARS, EYELIDS, NOSE, LIPS, MUCOUS MEMBRANE; EXCISED DIAMETER 3
11446|EXCISION, OTHER BENIGN LESION INCLUDING MARGINS (UNLESS LISTED ELSEWHERE), FACE, EARS, EYELIDS, NOSE, LIPS, MUCOUS MEMBRANE; EXCISED DIAMETER O|EXCISION, OTHER BENIGN LESION INCLUDING MARGINS (UNLESS LISTED ELSEWHERE), FACE, EARS, EYELIDS, NOSE, LIPS, MUCOUS MEMBRANE; EXCISED DIAMETER O
11450|EXCISION OF SKIN AND SUBCUTANEOUS TISSUE FOR HIDRADENITIS, AXILLARY; WITH SIMPLE OR INTERMEDIATE REPAIR|EXCISION OF SKIN AND SUBCUTANEOUS TISSUE FOR HIDRADENITIS, AXILLARY; WITH SIMPLE OR INTERMEDIATE REPAIR
11451|EXCISION OF SKIN AND SUBCUTANEOUS TISSUE FOR HIDRADENITIS, AXILLARY; WITH COMPLEX REPAIR|EXCISION OF SKIN AND SUBCUTANEOUS TISSUE FOR HIDRADENITIS, AXILLARY; WITH COMPLEX REPAIR
11462|EXCISION OF SKIN AND SUBCUTANEOUS TISSUE FOR HIDRADENITIS, INGUINAL; WITH SIMPLE OR INTERMEDIATE REPAIR|EXCISION OF SKIN AND SUBCUTANEOUS TISSUE FOR HIDRADENITIS, INGUINAL; WITH SIMPLE OR INTERMEDIATE REPAIR
11463|EXCISION OF SKIN AND SUBCUTANEOUS TISSUE FOR HIDRADENITIS, INGUINAL; WITH COMPLEX REPAIR|EXCISION OF SKIN AND SUBCUTANEOUS TISSUE FOR HIDRADENITIS, INGUINAL; WITH COMPLEX REPAIR
11470|EXCISION OF SKIN AND SUBCUTANEOUS TISSUE FOR HIDRADENITIS, PERIANAL, PERINEAL, OR UMBILICAL; WITH SIMPLE OR INTERMEDIATE REPAIR|EXCISION OF SKIN AND SUBCUTANEOUS TISSUE FOR HIDRADENITIS, PERIANAL, PERINEAL, OR UMBILICAL; WITH SIMPLE OR INTERMEDIATE REPAIR
11471|EXCISION OF SKIN AND SUBCUTANEOUS TISSUE FOR HIDRADENITIS, PERIANAL, PERINEAL, OR UMBILICAL; WITH COMPLEX REPAIR|EXCISION OF SKIN AND SUBCUTANEOUS TISSUE FOR HIDRADENITIS, PERIANAL, PERINEAL, OR UMBILICAL; WITH COMPLEX REPAIR
11600|EXCISION, MALIGNANT LESION INCLUDING MARGINS, TRUNK, ARMS, OR LEGS;EXCISED DIAMETER 0.5 CM OR LESS|EXCISION, MALIGNANT LESION INCLUDING MARGINS, TRUNK, ARMS, OR LEGS;EXCISED DIAMETER 0.5 CM OR LESS
11601|EXCISION, MALIGNANT LESION INCLUDING MARGINS, TRUNK, ARMS, OR LEGS;EXCISED DIAMETER 0.6 TO 1.0 CM|EXCISION, MALIGNANT LESION INCLUDING MARGINS, TRUNK, ARMS, OR LEGS;EXCISED DIAMETER 0.6 TO 1.0 CM
11602|EXCISION, MALIGNANT LESION INCLUDING MARGINS, TRUNK, ARMS, OR LEGS;EXCISED DIAMETER 1.1 TO 2.0 CM|EXCISION, MALIGNANT LESION INCLUDING MARGINS, TRUNK, ARMS, OR LEGS;EXCISED DIAMETER 1.1 TO 2.0 CM
11603|EXCISION, MALIGNANT LESION INCLUDING MARGINS, TRUNK, ARMS, OR LEGS;EXCISED DIAMETER 2.1 TO 3.0 CM|EXCISION, MALIGNANT LESION INCLUDING MARGINS, TRUNK, ARMS, OR LEGS;EXCISED DIAMETER 2.1 TO 3.0 CM
11604|EXCISION, MALIGNANT LESION INCLUDING MARGINS, TRUNK, ARMS, OR LEGS;EXCISED DIAMETER 3.1 TO 4.0 CM|EXCISION, MALIGNANT LESION INCLUDING MARGINS, TRUNK, ARMS, OR LEGS;EXCISED DIAMETER 3.1 TO 4.0 CM
11606|EXCISION, MALIGNANT LESION INCLUDING MARGINS, TRUNK, ARMS, OR LEGS;EXCISED DIAMETER OVER 4.0 CM|EXCISION, MALIGNANT LESION INCLUDING MARGINS, TRUNK, ARMS, OR LEGS;EXCISED DIAMETER OVER 4.0 CM
11620|EXCISION, MALIGNANT LESION INCLUDING MARGINS, SCALP, NECK, HANDS, FEET, GENITALIA; EXCISED DIAMETER 0.5 CM OR LESS|EXCISION, MALIGNANT LESION INCLUDING MARGINS, SCALP, NECK, HANDS, FEET, GENITALIA; EXCISED DIAMETER 0.5 CM OR LESS
11621|EXCISION, MALIGNANT LESION INCLUDING MARGINS, SCALP, NECK, HANDS, FEET, GENITALIA; EXCISED DIAMETER 0.6 TO 1.0 CM|EXCISION, MALIGNANT LESION INCLUDING MARGINS, SCALP, NECK, HANDS, FEET, GENITALIA; EXCISED DIAMETER 0.6 TO 1.0 CM
11622|EXCISION, MALIGNANT LESION INCLUDING MARGINS, SCALP, NECK, HANDS, FEET, GENITALIA; EXCISED DIAMETER 1.1 TO 2.0 CM|EXCISION, MALIGNANT LESION INCLUDING MARGINS, SCALP, NECK, HANDS, FEET, GENITALIA; EXCISED DIAMETER 1.1 TO 2.0 CM
11623|EXCISION, MALIGNANT LESION INCLUDING MARGINS, SCALP, NECK, HANDS, FEET, GENITALIA; EXCISED DIAMETER 2.1 TO 3.0 CM|EXCISION, MALIGNANT LESION INCLUDING MARGINS, SCALP, NECK, HANDS, FEET, GENITALIA; EXCISED DIAMETER 2.1 TO 3.0 CM
11624|EXCISION, MALIGNANT LESION INCLUDING MARGINS, SCALP, NECK, HANDS, FEET, GENITALIA; EXCISED DIAMETER 3.1 TO 4.0 CM|EXCISION, MALIGNANT LESION INCLUDING MARGINS, SCALP, NECK, HANDS, FEET, GENITALIA; EXCISED DIAMETER 3.1 TO 4.0 CM
11626|EXCISION, MALIGNANT LESION INCLUDING MARGINS, SCALP, NECK, HANDS, FEET, GENITALIA; EXCISED DIAMETER OVER 4.0 CM|EXCISION, MALIGNANT LESION INCLUDING MARGINS, SCALP, NECK, HANDS, FEET, GENITALIA; EXCISED DIAMETER OVER 4.0 CM
11640|EXCISION, MALIGNANT LESION INCLUDING MARGINS, FACE, EARS, EYELIDS, NOSE,LIPS; EXCISED DIAMETER 0.5 CM OR LESS|EXCISION, MALIGNANT LESION INCLUDING MARGINS, FACE, EARS, EYELIDS, NOSE,LIPS; EXCISED DIAMETER 0.5 CM OR LESS
11641|EXCISION, MALIGNANT LESION INCLUDING MARGINS, FACE, EARS, EYELIDS, NOSE,LIPS; EXCISED DIAMETER 0.6 TO 1.0 CM|EXCISION, MALIGNANT LESION INCLUDING MARGINS, FACE, EARS, EYELIDS, NOSE,LIPS; EXCISED DIAMETER 0.6 TO 1.0 CM
11642|EXCISION, MALIGNANT LESION INCLUDING MARGINS, FACE, EARS, EYELIDS, NOSE,LIPS; EXCISED DIAMETER 1.1 TO 2.0 CM|EXCISION, MALIGNANT LESION INCLUDING MARGINS, FACE, EARS, EYELIDS, NOSE,LIPS; EXCISED DIAMETER 1.1 TO 2.0 CM
11643|EXCISION, MALIGNANT LESION INCLUDING MARGINS, FACE, EARS, EYELIDS, NOSE,LIPS; EXCISED DIAMETER 2.1 TO 3.0 CM|EXCISION, MALIGNANT LESION INCLUDING MARGINS, FACE, EARS, EYELIDS, NOSE,LIPS; EXCISED DIAMETER 2.1 TO 3.0 CM
11644|EXCISION, MALIGNANT LESION INCLUDING MARGINS, FACE, EARS, EYELIDS, NOSE,LIPS; EXCISED DIAMETER 3.1 TO 4.0 CM|EXCISION, MALIGNANT LESION INCLUDING MARGINS, FACE, EARS, EYELIDS, NOSE,LIPS; EXCISED DIAMETER 3.1 TO 4.0 CM
11646|EXCISION, MALIGNANT LESION INCLUDING MARGINS, FACE, EARS, EYELIDS, NOSE,LIPS; EXCISED DIAMETER OVER 4.0 CM|EXCISION, MALIGNANT LESION INCLUDING MARGINS, FACE, EARS, EYELIDS, NOSE,LIPS; EXCISED DIAMETER OVER 4.0 CM
11719|TRIMMING OF NONDYSTROPHIC NAILS, ANY NUMBER|TRIMMING OF NONDYSTROPHIC NAILS, ANY NUMBER
11720|DEBRIDEMENT OF NAIL(S) BY ANY METHOD(S); ONE TO FIVE|DEBRIDEMENT OF NAIL(S) BY ANY METHOD(S); ONE TO FIVE
11721|DEBRIDEMENT OF NAIL(S) BY ANY METHOD(S); SIX OR MORE|DEBRIDEMENT OF NAIL(S) BY ANY METHOD(S); SIX OR MORE
11730|AVULSION OF NAIL PLATE, PARTIAL OR COMPLETE, SIMPLE; SINGLE|AVULSION OF NAIL PLATE, PARTIAL OR COMPLETE, SIMPLE; SINGLE
11732|AVULSION OF NAIL PLATE, PARTIAL OR COMPLETE, SIMPLE; EACH ADDITIONAL NAIL PLATE (LIST SEPARATELY IN ADDITION TO CODE FOR PRIMARY PROCEDURE)|AVULSION OF NAIL PLATE, PARTIAL OR COMPLETE, SIMPLE; EACH ADDITIONAL NAIL PLATE (LIST SEPARATELY IN ADDITION TO CODE FOR PRIMARY PROCEDURE)
11740|EVACUATION OF SUBUNGUAL HEMATOMA|EVACUATION OF SUBUNGUAL HEMATOMA
