CPT_LONG_DESCRIPTION|CPT_ADD_NOTE|CPT_CODE|CPT_SHORT_DESCRIPTION
EXCISION, OTHER BENIGN LESION INCLUDING MARGINS (UNLESS LISTED ELSEWHERE), FACE, EARS, EYELIDS, NOSE, LIPS, MUCOUS MEMBRANE; EXCISED DIAMETER 3|0.1|11444|EXC B9+MARG EAR DIAM 3.1-4 CM
EXCISION, OTHER BENIGN LESION INCLUDING MARGINS (UNLESS LISTED ELSEWHERE), FACE, EARS, EYELIDS, NOSE, LIPS, MUCOUS MEMBRANE; EXCISED DIAMETER O|VER|11446|EXC B9+MARG ARM DIAM > 4.0 CM
EXCISION OF SKIN AND SUBCUTANEOUS TISSUE FOR HIDRADENITIS, AXILLARY; WITH SIMPLE OR INTERMEDIATE REPAIR||11450|REMOVAL, SWEAT GLAND LESION
EXCISION OF SKIN AND SUBCUTANEOUS TISSUE FOR HIDRADENITIS, AXILLARY; WITH COMPLEX REPAIR||11451|REMOVAL, SWEAT GLAND LESION
EXCISION OF SKIN AND SUBCUTANEOUS TISSUE FOR HIDRADENITIS, INGUINAL; WITH SIMPLE OR INTERMEDIATE REPAIR||11462|REMOVAL, SWEAT GLAND LESION
EXCISION OF SKIN AND SUBCUTANEOUS TISSUE FOR HIDRADENITIS, INGUINAL; WITH COMPLEX REPAIR||11463|REMOVAL, SWEAT GLAND LESION
EXCISION OF SKIN AND SUBCUTANEOUS TISSUE FOR HIDRADENITIS, PERIANAL, PERINEAL, OR UMBILICAL; WITH SIMPLE OR INTERMEDIATE REPAIR||11470|REMOVAL, SWEAT GLAND LESION
EXCISION OF SKIN AND SUBCUTANEOUS TISSUE FOR HIDRADENITIS, PERIANAL, PERINEAL, OR UMBILICAL; WITH COMPLEX REPAIR||11471|REMOVAL, SWEAT GLAND LESION
EXCISION, MALIGNANT LESION INCLUDING MARGINS, TRUNK, ARMS, OR LEGS;EXCISED DIAMETER 0.5 CM OR LESS||11600|EXCIS MALIG ARM DIAM 0.5 < CM
EXCISION, MALIGNANT LESION INCLUDING MARGINS, TRUNK, ARMS, OR LEGS;EXCISED DIAMETER 0.6 TO 1.0 CM||11601|EXCIS MALIG ARM DIAM 0.6-1 CM
EXCISION, MALIGNANT LESION INCLUDING MARGINS, TRUNK, ARMS, OR LEGS;EXCISED DIAMETER 1.1 TO 2.0 CM||11602|EXCIS MALIG ARM DIAM 1.1-2 CM
EXCISION, MALIGNANT LESION INCLUDING MARGINS, TRUNK, ARMS, OR LEGS;EXCISED DIAMETER 2.1 TO 3.0 CM||11603|EXCIS MALIG ARM DIAM 2.1-3 CM
EXCISION, MALIGNANT LESION INCLUDING MARGINS, TRUNK, ARMS, OR LEGS;EXCISED DIAMETER 3.1 TO 4.0 CM||11604|EXCIS MALIG ARM DIAM 3.1-4 CM
EXCISION, MALIGNANT LESION INCLUDING MARGINS, TRUNK, ARMS, OR LEGS;EXCISED DIAMETER OVER 4.0 CM||11606|EXCIS MALIG ARM DIAM > 4.0 CM
EXCISION, MALIGNANT LESION INCLUDING MARGINS, SCALP, NECK, HANDS, FEET, GENITALIA; EXCISED DIAMETER 0.5 CM OR LESS||11620|EXCIS MALIG HND DIAM 0.5 < CM
EXCISION, MALIGNANT LESION INCLUDING MARGINS, SCALP, NECK, HANDS, FEET, GENITALIA; EXCISED DIAMETER 0.6 TO 1.0 CM||11621|EXCIS MALIG HND DIAM 0.6-1 CM
EXCISION, MALIGNANT LESION INCLUDING MARGINS, SCALP, NECK, HANDS, FEET, GENITALIA; EXCISED DIAMETER 1.1 TO 2.0 CM||11622|EXCIS MALIG HND DIAM 1.1-2 CM
EXCISION, MALIGNANT LESION INCLUDING MARGINS, SCALP, NECK, HANDS, FEET, GENITALIA; EXCISED DIAMETER 2.1 TO 3.0 CM||11623|EXCIS MALIG HND DIAM 2.1-3 CM
EXCISION, MALIGNANT LESION INCLUDING MARGINS, SCALP, NECK, HANDS, FEET, GENITALIA; EXCISED DIAMETER 3.1 TO 4.0 CM||11624|EXCIS MALIG HND DIAM 3.1-4 CM
EXCISION, MALIGNANT LESION INCLUDING MARGINS, SCALP, NECK, HANDS, FEET, GENITALIA; EXCISED DIAMETER OVER 4.0 CM||11626|EXCIS MALIG HND DIAM > 4.0 CM
EXCISION, MALIGNANT LESION INCLUDING MARGINS, FACE, EARS, EYELIDS, NOSE,LIPS; EXCISED DIAMETER 0.5 CM OR LESS||11640|EXCIS MALIG EAR DIAM 0.5 < CM
EXCISION, MALIGNANT LESION INCLUDING MARGINS, FACE, EARS, EYELIDS, NOSE,LIPS; EXCISED DIAMETER 0.6 TO 1.0 CM||11641|EXCIS MALIG EAR DIAM 0.6-1 CM
EXCISION, MALIGNANT LESION INCLUDING MARGINS, FACE, EARS, EYELIDS, NOSE,LIPS; EXCISED DIAMETER 1.1 TO 2.0 CM||11642|EXCIS MALIG EAR DIAM 1.1-2 CM
EXCISION, MALIGNANT LESION INCLUDING MARGINS, FACE, EARS, EYELIDS, NOSE,LIPS; EXCISED DIAMETER 2.1 TO 3.0 CM||11643|EXCIS MALIG EAR DIAM 2.1-3 CM
EXCISION, MALIGNANT LESION INCLUDING MARGINS, FACE, EARS, EYELIDS, NOSE,LIPS; EXCISED DIAMETER 3.1 TO 4.0 CM||11644|EXCIS MALIG EAR DIAM 3.1-4 CM
EXCISION, MALIGNANT LESION INCLUDING MARGINS, FACE, EARS, EYELIDS, NOSE,LIPS; EXCISED DIAMETER OVER 4.0 CM||11646|EXCIS MALIG EAR DIAM > 4.0 CM
TRIMMING OF NONDYSTROPHIC NAILS, ANY NUMBER||11719|TRIM NAIL(S)
DEBRIDEMENT OF NAIL(S) BY ANY METHOD(S); ONE TO FIVE||11720|DEBRIDE NAIL, 1-5
DEBRIDEMENT OF NAIL(S) BY ANY METHOD(S); SIX OR MORE||11721|DEBRIDE NAIL, 6 OR MORE
AVULSION OF NAIL PLATE, PARTIAL OR COMPLETE, SIMPLE; SINGLE||11730|REMOVAL OF NAIL PLATE
AVULSION OF NAIL PLATE, PARTIAL OR COMPLETE, SIMPLE; EACH ADDITIONAL NAIL PLATE (LIST SEPARATELY IN ADDITION TO CODE FOR PRIMARY PROCEDURE)||11732|REMOVE NAIL PLATE, ADD-ON
EVACUATION OF SUBUNGUAL HEMATOMA||11740|DRAIN BLOOD FROM UNDER NAIL
EXCISION OF NAIL AND NAIL MATRIX, PARTIAL OR COMPLETE, (EG, INGROWN OR DEFORMED NAIL) FOR PERMANENT REMOVAL;||11750|REMOVAL OF NAIL BED
EXCISION OF NAIL AND NAIL MATRIX, PARTIAL OR COMPLETE, (EG, INGROWN OR DEFORMED NAIL) FOR PERMANENT REMOVAL; WITH AMPUTATION OF TUFT OF DISTAL|PHA|11752|REMOVE NAIL BED/FINGER TIP
BIOPSY OF NAIL UNIT (EG, PLATE, BED, MATRIX, HYPONYCHIUM, PROXIMAL AND LATERAL NAIL FOLDS) (SEPARATE PROCEDURE)||11755|BIOPSY, NAIL UNIT
REPAIR OF NAIL BED||11760|REPAIR OF NAIL BED
RECONSTRUCTION OF NAIL BED WITH GRAFT||11762|RECONSTRUCTION OF NAIL BED
WEDGE EXCISION OF SKIN OF NAIL FOLD (EG, FOR INGROWN TOENAIL)||11765|EXCISION OF NAIL FOLD, TOE
EXCISION OF PILONIDAL CYST OR SINUS; SIMPLE||11770|REMOVAL OF PILONIDAL LESION
EXCISION OF PILONIDAL CYST OR SINUS; EXTENSIVE||11771|REMOVAL OF PILONIDAL LESION
EXCISION OF PILONIDAL CYST OR SINUS; COMPLICATED||11772|REMOVAL OF PILONIDAL LESION
INJECTION, INTRALESIONAL; UP TO AND INCLUDING SEVEN LESIONS||11900|INJECTION INTO SKIN LESIONS
INJECTION, INTRALESIONAL; MORE THAN SEVEN LESIONS||11901|ADDED SKIN LESIONS INJECTION
TATTOOING, INTRADERMAL INTRODUCTION OF INSOLUBLE OPAQUE PIGMENTS TO CORRECT COLOR DEFECTS OF SKIN, INCLUDING MICROPIGMENTATION; 6.0 SQ CM OR LE|SS|11920|CORRECT SKIN COLOR DEFECTS
TATTOOING, INTRADERMAL INTRODUCTION OF INSOLUBLE OPAQUE PIGMENTS TO CORRECT COLOR DEFECTS OF SKIN, INCLUDING MICROPIGMENTATION; 6.1 TO 20.0 SQ|CM|11921|CORRECT SKIN COLOR DEFECTS
TATTOOING, INTRADERMAL INTRODUCTION OF INSOLUBLE OPAQUE PIGMENTS TO CORRECT COLOR DEFECTS OF SKIN, INCLUDING MICROPIGMENTATION; EACH ADDITIONAL|20|11922|CORRECT SKIN COLOR DEFECTS
TATTOOING, INTRADERMAL INTRODUCTION OF INSOLUBLE OPAQUE PIGMENTS TO CORRECT COLOR DEFECTS OF SKIN, INCLUDING MICROPIGMENTATION; SUBCU INJECTION|OF|11950|THERAPY FOR CONTOUR DEFECTS
TATTOOING, INTRADERMAL INTRODUCTION OF INSOLUBLE OPAQUE PIGMENTS TO CORRECT COLOR DEFECTS OF SKIN, INCLUDING MICROPIGMENTATION; 1.1 TO 5.0 CC||11951|THERAPY FOR CONTOUR DEFECTS
TATTOOING, INTRADERMAL INTRODUCTION OF INSOLUBLE OPAQUE PIGMENTS TO CORRECT COLOR DEFECTS OF SKIN, INCLUDING MICROPIGMENTATION; 5.1 TO 10.0 CC||11952|THERAPY FOR CONTOUR DEFECTS
TATTOOING, INTRADERMAL INTRODUCTION OF INSOLUBLE OPAQUE PIGMENTS TO CORRECT COLOR DEFECTS OF SKIN, INCLUDING MICROPIGMENTATION; OVER 10.0 CC||11954|THERAPY FOR CONTOUR DEFECTS
INSERTION OF TISSUE EXPANDER(S) FOR OTHER THAN BREAST, INCLUDING SUBSEQUENT EXPANSION||11960|INSERT TISSUE EXPANDER(S)
REPLACEMENT OF TISSUE EXPANDER WITH PERMANENT PROSTHESIS||11970|REPLACE TISSUE EXPANDER
REMOVAL OF TISSUE EXPANDER(S) WITHOUT INSERTION OF PROSTHESIS||11971|REMOVE TISSUE EXPANDER(S)
INSERTION, IMPLANTABLE CONTRACEPTIVE CAPSULES||11975|INSERT CONTRACEPTIVE CAP
REMOVAL, IMPLANTABLE CONTRACEPTIVE CAPSULES||11976|REMOVAL OF CONTRACEPTIVE CAP
REMOVAL WITH REINSERTION, IMPLANTABLE CONTRACEPTIVE CAPSULES||11977|REMOVAL/REINSERT CONTRA CAP
SUBCUTANEOUS HORMONE PELLET IMPLANTATION (IMPLANTATION OF ESTRADIOL AND/OR TESTOSTERONE PELLETS BENEATH THE SKIN)||11980|IMPLANT HORMONE PELLET(S)
INSERTION, NON-BIODEGRADABLE DRUG DELIVERY IMPLANT||11981|INSERT DRUG IMPLANT DEVICE
REMOVAL, NON-BIODEGRADABLE DRUG DELIVERY IMPLANT||11982|REMOVE DRUG IMPLANT DEVICE
REMOVAL WITH REINSERTION, NON-BIODEGRADABLE DRUG DELIVERY IMPLANT||11983|REMOVE/INSERT DRUG IMPLANT
SIMPLE REPAIR OF SUPERFICIAL WOUNDS OF SCALP, NECK, AXILLAE, EXTERNAL GENITALIA, TRUNK AND/OR EXTREMITIES (INCLUDING HANDS AND FEET); 2.5 CM OR|LE|12001|REPAIR SUPERFICIAL WOUND(S)
SIMPLE REPAIR OF SUPERFICIAL WOUNDS OF SCALP, NECK, AXILLAE, EXTERNAL GENITALIA, TRUNK AND/OR EXTREMITIES (INCLUDING HANDS AND FEET); 2.6 CM TO|7|12002|REPAIR SUPERFICIAL WOUND(S)
SIMPLE REPAIR OF SUPERFICIAL WOUNDS OF SCALP, NECK, AXILLAE, EXTERNAL GENITALIA, TRUNK AND/OR EXTREMITIES (INCLUDING HANDS AND FEET); 7.6 CM TO|12|12004|REPAIR SUPERFICIAL WOUND(S)
SIMPLE REPAIR OF SUPERFICIAL WOUNDS OF SCALP, NECK, AXILLAE, EXTERNAL GENITALIA, TRUNK AND/OR EXTREMITIES (INCLUDING HANDS AND FEET); 12.6 CM T|O 2|12005|REPAIR SUPERFICIAL WOUND(S)
SIMPLE REPAIR OF SUPERFICIAL WOUNDS OF SCALP, NECK, AXILLAE, EXTERNAL GENITALIA, TRUNK AND/OR EXTREMITIES (INCLUDING HANDS AND FEET); 20.1 CM T|O 3|12006|REPAIR SUPERFICIAL WOUND(S)
SIMPLE REPAIR OF SUPERFICIAL WOUNDS OF SCALP, NECK, AXILLAE, EXTERNAL GENITALIA, TRUNK AND/OR EXTREMITIES (INCLUDING HANDS AND FEET); OVER 30.0|CM|12007|REPAIR SUPERFICIAL WOUND(S)
SIMPLE REPAIR OF SUPERFICIAL WOUNDS OF FACE, EARS, EYELIDS, NOSE, LIPS AND/OR MUCOUS MEMBRANES; 2.5 CM OR LESS||12011|REPAIR SUPERFICIAL WOUND(S)
SIMPLE REPAIR OF SUPERFICIAL WOUNDS OF FACE, EARS, EYELIDS, NOSE, LIPS AND/OR MUCOUS MEMBRANES; 2.6 CM TO 5.0 CM||12013|REPAIR SUPERFICIAL WOUND(S)
SIMPLE REPAIR OF SUPERFICIAL WOUNDS OF FACE, EARS, EYELIDS, NOSE, LIPS AND/OR MUCOUS MEMBRANES; 5.1 CM TO 7.5 CM||12014|REPAIR SUPERFICIAL WOUND(S)
SIMPLE REPAIR OF SUPERFICIAL WOUNDS OF FACE, EARS, EYELIDS, NOSE, LIPS AND/OR MUCOUS MEMBRANES; 7.6 CM TO 12.5 CM||12015|REPAIR SUPERFICIAL WOUND(S)
SIMPLE REPAIR OF SUPERFICIAL WOUNDS OF FACE, EARS, EYELIDS, NOSE, LIPS AND/OR MUCOUS MEMBRANES; 12.6 CM TO 20.0 CM||12016|REPAIR SUPERFICIAL WOUND(S)
SIMPLE REPAIR OF SUPERFICIAL WOUNDS OF FACE, EARS, EYELIDS, NOSE, LIPS AND/OR MUCOUS MEMBRANES; 20.1 CM TO 30.0 CM||12017|REPAIR SUPERFICIAL WOUND(S)
SIMPLE REPAIR OF SUPERFICIAL WOUNDS OF FACE, EARS, EYELIDS, NOSE, LIPS AND/OR MUCOUS MEMBRANES; OVER 30.0 CM||12018|REPAIR SUPERFICIAL WOUND(S)
TREATMENT OF SUPERFICIAL WOUND DEHISCENCE; SIMPLE CLOSURE||12020|CLOSURE OF SPLIT WOUND
TREATMENT OF SUPERFICIAL WOUND DEHISCENCE; WITH PACKING||12021|CLOSURE OF SPLIT WOUND
LAYER CLOSURE OF WOUNDS OF SCALP, AXILLAE, TRUNK AND/OR EXTREMITIES (EXCLUDING HANDS AND FEET); 2.5 CM OR LESS||12031|LAYER CLOSURE OF WOUND(S)
LAYER CLOSURE OF WOUNDS OF SCALP, AXILLAE, TRUNK AND/OR EXTREMITIES (EXCLUDING HANDS AND FEET); 2.6 CM TO 7.5 CM||12032|LAYER CLOSURE OF WOUND(S)
LAYER CLOSURE OF WOUNDS OF SCALP, AXILLAE, TRUNK AND/OR EXTREMITIES (EXCLUDING HANDS AND FEET); 7.6 CM TO 12.5 CM||12034|LAYER CLOSURE OF WOUND(S)
LAYER CLOSURE OF WOUNDS OF SCALP, AXILLAE, TRUNK AND/OR EXTREMITIES (EXCLUDING HANDS AND FEET); 12.6 CM TO 20.0 CM||12035|LAYER CLOSURE OF WOUND(S)
LAYER CLOSURE OF WOUNDS OF SCALP, AXILLAE, TRUNK AND/OR EXTREMITIES (EXCLUDING HANDS AND FEET); 20.1 CM TO 30.0 CM||12036|LAYER CLOSURE OF WOUND(S)
LAYER CLOSURE OF WOUNDS OF SCALP, AXILLAE, TRUNK AND/OR EXTREMITIES (EXCLUDING HANDS AND FEET); OVER 30.0 CM||12037|LAYER CLOSURE OF WOUND(S)
LAYER CLOSURE OF WOUNDS OF NECK, HANDS, FEET AND/OR EXTERNAL GENITALIA; 2.5 CM OR LESS||12041|LAYER CLOSURE OF WOUND(S)
LAYER CLOSURE OF WOUNDS OF NECK, HANDS, FEET AND/OR EXTERNAL GENITALIA; 2.6 CM TO 7.5 CM||12042|LAYER CLOSURE OF WOUND(S)
LAYER CLOSURE OF WOUNDS OF NECK, HANDS, FEET AND/OR EXTERNAL GENITALIA; 7.6 CM TO 12.5 CM||12044|LAYER CLOSURE OF WOUND(S)
